N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
15;13;RS_GF_16;298 / 6,272 ( 5 % );18 / 92 ( 20 % );171;184 / 276,480 ( < 1 % );240.62
15;11;RS_GF_16;439 / 6,272 ( 7 % );18 / 92 ( 20 % );242;184 / 276,480 ( < 1 % );176.74
15;9;RS_GF_16;534 / 6,272 ( 9 % );18 / 92 ( 20 % );307;184 / 276,480 ( < 1 % );174.46
15;7;RS_GF_16;623 / 6,272 ( 10 % );18 / 92 ( 20 % );372;184 / 276,480 ( < 1 % );155.59
15;5;RS_GF_16;722 / 6,272 ( 12 % );18 / 92 ( 20 % );437;184 / 276,480 ( < 1 % );146.63
15;3;RS_GF_16;816 / 6,272 ( 13 % );18 / 92 ( 20 % );501;184 / 276,480 ( < 1 % );155.91
15;1;RS_GF_16;909 / 6,272 ( 14 % );18 / 92 ( 20 % );565;184 / 276,480 ( < 1 % );158.91
31;29;RS_GF_32;395 / 6,272 ( 6 % );20 / 92 ( 22 % );202;470 / 276,480 ( < 1 % );226.96
31;27;RS_GF_32;555 / 6,272 ( 9 % );20 / 92 ( 22 % );290;470 / 276,480 ( < 1 % );159.08
31;25;RS_GF_32;676 / 6,272 ( 11 % );20 / 92 ( 22 % );371;470 / 276,480 ( < 1 % );129.43
31;23;RS_GF_32;802 / 6,272 ( 13 % );20 / 92 ( 22 % );452;470 / 276,480 ( < 1 % );136.89
31;21;RS_GF_32;937 / 6,272 ( 15 % );20 / 92 ( 22 % );533;470 / 276,480 ( < 1 % );146.54
31;19;RS_GF_32;1,069 / 6,272 ( 17 % );20 / 92 ( 22 % );613;470 / 276,480 ( < 1 % );137.63
31;17;RS_GF_32;1,192 / 6,272 ( 19 % );20 / 92 ( 22 % );693;470 / 276,480 ( < 1 % );136.91
31;15;RS_GF_32;1,314 / 6,272 ( 21 % );20 / 92 ( 22 % );774;470 / 276,480 ( < 1 % );134.63
31;13;RS_GF_32;1,453 / 6,272 ( 23 % );20 / 92 ( 22 % );855;470 / 276,480 ( < 1 % );133.56
31;11;RS_GF_32;1,577 / 6,272 ( 25 % );20 / 92 ( 22 % );935;470 / 276,480 ( < 1 % );134.48
31;9;RS_GF_32;1,695 / 6,272 ( 27 % );20 / 92 ( 22 % );1015;470 / 276,480 ( < 1 % );130.79
31;7;RS_GF_32;1,815 / 6,272 ( 29 % );20 / 92 ( 22 % );1095;470 / 276,480 ( < 1 % );133.39
31;5;RS_GF_32;1,975 / 6,272 ( 31 % );20 / 92 ( 22 % );1175;470 / 276,480 ( < 1 % );128.53
31;3;RS_GF_32;2,102 / 6,272 ( 34 % );20 / 92 ( 22 % );1255;470 / 276,480 ( < 1 % );126.66
31;1;RS_GF_32;2,218 / 6,272 ( 35 % );20 / 92 ( 22 % );1335;470 / 276,480 ( < 1 % );127.88
63;61;RS_GF_64;507 / 6,272 ( 8 % );22 / 92 ( 24 % );233;1,140 / 276,480 ( < 1 % );219.97
63;59;RS_GF_64;710 / 6,272 ( 11 % );22 / 92 ( 24 % );338;1,140 / 276,480 ( < 1 % );144.89
63;57;RS_GF_64;873 / 6,272 ( 14 % );22 / 92 ( 24 % );435;1,140 / 276,480 ( < 1 % );140.23
63;55;RS_GF_64;1,021 / 6,272 ( 16 % );22 / 92 ( 24 % );532;1,140 / 276,480 ( < 1 % );134.92
63;53;RS_GF_64;1,185 / 6,272 ( 19 % );22 / 92 ( 24 % );629;1,140 / 276,480 ( < 1 % );138.31
63;51;RS_GF_64;1,314 / 6,272 ( 21 % );22 / 92 ( 24 % );725;1,140 / 276,480 ( < 1 % );129.48
63;49;RS_GF_64;1,484 / 6,272 ( 24 % );22 / 92 ( 24 % );821;1,140 / 276,480 ( < 1 % );132.8
63;47;RS_GF_64;1,643 / 6,272 ( 26 % );22 / 92 ( 24 % );918;1,140 / 276,480 ( < 1 % );126.41
63;45;RS_GF_64;1,842 / 6,272 ( 29 % );22 / 92 ( 24 % );1015;1,140 / 276,480 ( < 1 % );125.28
63;43;RS_GF_64;1,970 / 6,272 ( 31 % );22 / 92 ( 24 % );1111;1,140 / 276,480 ( < 1 % );122.38
63;41;RS_GF_64;2,132 / 6,272 ( 34 % );22 / 92 ( 24 % );1207;1,140 / 276,480 ( < 1 % );115.06
63;39;RS_GF_64;2,344 / 6,272 ( 37 % );22 / 92 ( 24 % );1303;1,140 / 276,480 ( < 1 % );116.16
63;37;RS_GF_64;2,455 / 6,272 ( 39 % );22 / 92 ( 24 % );1399;1,140 / 276,480 ( < 1 % );121.54
63;35;RS_GF_64;2,671 / 6,272 ( 43 % );22 / 92 ( 24 % );1495;1,140 / 276,480 ( < 1 % );117.1
63;33;RS_GF_64;2,793 / 6,272 ( 45 % );22 / 92 ( 24 % );1591;1,140 / 276,480 ( < 1 % );113.15
63;31;RS_GF_64;2,961 / 6,272 ( 47 % );22 / 92 ( 24 % );1688;1,140 / 276,480 ( < 1 % );113.75
127;125;RS_GF_128;685 / 6,272 ( 11 % );24 / 92 ( 26 % );264;2,674 / 276,480 ( < 1 % );195.89
127;123;RS_GF_128;927 / 6,272 ( 15 % );24 / 92 ( 26 % );386;2,674 / 276,480 ( < 1 % );141.7
127;121;RS_GF_128;1,112 / 6,272 ( 18 % );24 / 92 ( 26 % );499;2,674 / 276,480 ( < 1 % );136.0
127;119;RS_GF_128;1,304 / 6,272 ( 21 % );24 / 92 ( 26 % );612;2,674 / 276,480 ( < 1 % );124.89
127;117;RS_GF_128;1,478 / 6,272 ( 24 % );24 / 92 ( 26 % );725;2,674 / 276,480 ( < 1 % );124.02
127;115;RS_GF_128;1,674 / 6,272 ( 27 % );24 / 92 ( 26 % );837;2,674 / 276,480 ( < 1 % );118.53
127;113;RS_GF_128;1,867 / 6,272 ( 30 % );24 / 92 ( 26 % );949;2,674 / 276,480 ( < 1 % );119.88
127;111;RS_GF_128;2,062 / 6,272 ( 33 % );24 / 92 ( 26 % );1062;2,674 / 276,480 ( < 1 % );117.69
127;109;RS_GF_128;2,274 / 6,272 ( 36 % );24 / 92 ( 26 % );1175;2,674 / 276,480 ( < 1 % );116.58
127;107;RS_GF_128;2,449 / 6,272 ( 39 % );24 / 92 ( 26 % );1287;2,674 / 276,480 ( < 1 % );119.36
127;105;RS_GF_128;2,656 / 6,272 ( 42 % );24 / 92 ( 26 % );1399;2,674 / 276,480 ( < 1 % );115.42
127;103;RS_GF_128;2,819 / 6,272 ( 45 % );24 / 92 ( 26 % );1511;2,674 / 276,480 ( < 1 % );113.26
127;101;RS_GF_128;3,019 / 6,272 ( 48 % );24 / 92 ( 26 % );1623;2,674 / 276,480 ( < 1 % );109.28
127;99;RS_GF_128;3,168 / 6,272 ( 51 % );24 / 92 ( 26 % );1735;2,674 / 276,480 ( < 1 % );111.12
127;97;RS_GF_128;3,405 / 6,272 ( 54 % );24 / 92 ( 26 % );1847;2,674 / 276,480 ( < 1 % );108.57
127;95;RS_GF_128;3,613 / 6,272 ( 58 % );24 / 92 ( 26 % );1960;2,674 / 276,480 ( < 1 % );109.08
255;253;RS_GF_256;1,016 / 6,272 ( 16 % );26 / 92 ( 28 % );295;6,128 / 276,480 ( 2 % );166.2
255;251;RS_GF_256;1,304 / 6,272 ( 21 % );26 / 92 ( 28 % );434;6,128 / 276,480 ( 2 % );105.89
255;249;RS_GF_256;1,545 / 6,272 ( 25 % );26 / 92 ( 28 % );563;6,128 / 276,480 ( 2 % );107.28
255;247;RS_GF_256;1,763 / 6,272 ( 28 % );26 / 92 ( 28 % );692;6,128 / 276,480 ( 2 % );109.27
255;245;RS_GF_256;1,991 / 6,272 ( 32 % );26 / 92 ( 28 % );821;6,128 / 276,480 ( 2 % );103.5
255;243;RS_GF_256;2,217 / 6,272 ( 35 % );26 / 92 ( 28 % );949;6,128 / 276,480 ( 2 % );105.36
255;241;RS_GF_256;2,465 / 6,272 ( 39 % );26 / 92 ( 28 % );1077;6,128 / 276,480 ( 2 % );99.05
255;239;RS_GF_256;2,706 / 6,272 ( 43 % );26 / 92 ( 28 % );1206;6,128 / 276,480 ( 2 % );97.13
255;237;RS_GF_256;2,958 / 6,272 ( 47 % );26 / 92 ( 28 % );1335;6,128 / 276,480 ( 2 % );101.99
255;235;RS_GF_256;3,207 / 6,272 ( 51 % );26 / 92 ( 28 % );1463;6,128 / 276,480 ( 2 % );97.93
255;233;RS_GF_256;3,429 / 6,272 ( 55 % );26 / 92 ( 28 % );1591;6,128 / 276,480 ( 2 % );94.73
255;231;RS_GF_256;3,646 / 6,272 ( 58 % );26 / 92 ( 28 % );1719;6,128 / 276,480 ( 2 % );95.14
255;229;RS_GF_256;3,870 / 6,272 ( 62 % );26 / 92 ( 28 % );1847;6,128 / 276,480 ( 2 % );94.98
255;227;RS_GF_256;4,103 / 6,272 ( 65 % );26 / 92 ( 28 % );1975;6,128 / 276,480 ( 2 % );90.51
255;225;RS_GF_256;4,372 / 6,272 ( 70 % );26 / 92 ( 28 % );2103;6,128 / 276,480 ( 2 % );94.26
255;223;RS_GF_256;4,594 / 6,272 ( 73 % );26 / 92 ( 28 % );2232;6,128 / 276,480 ( 2 % );94.71
